distribution,x,pdf
"Beta(2,2)",0.28600000000000003,1.2252239806651637
"Beta(2,2)",0.28700000000000003,1.2277859806247338
"Beta(2,2)",0.28800000000000003,1.2303359805844933
"Beta(2,2)",0.289,1.2328739805444415
"Beta(2,2)",0.29,1.2353999805045794
"Beta(2,2)",0.291,1.2379139804649073
"Beta(2,2)",0.292,1.2404159804254238
"Beta(2,2)",0.293,1.2429059803861302
"Beta(2,2)",0.294,1.2453839803470257
"Beta(2,2)",0.295,1.2478499803081107
"Beta(2,2)",0.296,1.2503039802693847
"Beta(2,2)",0.297,1.2527459802308487
"Beta(2,2)",0.298,1.2551759801925013
"Beta(2,2)",0.299,1.2575939801543439
"Beta(2,2)",0.3,1.2599999801163755
"Beta(2,2)",0.301,1.2623939800785968
"Beta(2,2)",0.302,1.2647759800410072
"Beta(2,2)",0.303,1.267145980003607
"Beta(2,2)",0.304,1.2695039799663963
"Beta(2,2)",0.305,1.271849979929375
"Beta(2,2)",0.306,1.2741839798925427
"Beta(2,2)",0.307,1.2765059798559
"Beta(2,2)",0.308,1.2788159798194467
"Beta(2,2)",0.309,1.281113979783183
"Beta(2,2)",0.31,1.2833999797471083
"Beta(2,2)",0.311,1.2856739797112233
"Beta(2,2)",0.312,1.287935979675527
"Beta(2,2)",0.313,1.2901859796400208
"Beta(2,2)",0.314,1.2924239796047035
"Beta(2,2)",0.315,1.294649979569576
"Beta(2,2)",0.316,1.2968639795346375
"Beta(2,2)",0.317,1.2990659794998887
"Beta(2,2)",0.318,1.301255979465329
"Beta(2,2)",0.319,1.3034339794309588
"Beta(2,2)",0.32,1.3055999793967776
"Beta(2,2)",0.321,1.3077539793627864
"Beta(2,2)",0.322,1.3098959793289842
"Beta(2,2)",0.323,1.3120259792953715
"Beta(2,2)",0.324,1.314143979261948
"Beta(2,2)",0.325,1.3162499792287141
"Beta(2,2)",0.326,1.3183439791956693
"Beta(2,2)",0.327,1.320425979162814
"Beta(2,2)",0.328,1.3224959791301478
"Beta(2,2)",0.329,1.3245539790976713
"Beta(2,2)",0.33,1.326599979065384
"Beta(2,2)",0.331,1.3286339790332862
"Beta(2,2)",0.332,1.3306559790013777
"Beta(2,2)",0.333,1.3326659789696589
"Beta(2,2)",0.334,1.3346639789381287
"Beta(2,2)",0.335,1.3366499789067887
"Beta(2,2)",0.336,1.3386239788756376
"Beta(2,2)",0.337,1.340585978844676
"Beta(2,2)",0.338,1.3425359788139035
"Beta(2,2)",0.339,1.3444739787833209
"Beta(2,2)",0.34,1.3463999787529273
"Beta(2,2)",0.341,1.3483139787227232
"Beta(2,2)",0.342,1.3502159786927082
"Beta(2,2)",0.343,1.3521059786628828
"Beta(2,2)",0.34400000000000003,1.3539839786332464
"Beta(2,2)",0.34500000000000003,1.3558499786037999
"Beta(2,2)",0.34600000000000003,1.3577039785745426
"Beta(2,2)",0.34700000000000003,1.3595459785454747
"Beta(2,2)",0.34800000000000003,1.361375978516596
"Beta(2,2)",0.34900000000000003,1.363193978487907
"Beta(2,2)",0.35000000000000003,1.364999978459407
"Beta(2,2)",0.35100000000000003,1.3667939784310965
"Beta(2,2)",0.352,1.3685759784029752
"Beta(2,2)",0.353,1.3703459783750438
"Beta(2,2)",0.354,1.3721039783473012
"Beta(2,2)",0.355,1.373849978319748
"Beta(2,2)",0.356,1.3755839782923847
"Beta(2,2)",0.357,1.37730597826521
"Beta(2,2)",0.358,1.3790159782382254
"Beta(2,2)",0.359,1.3807139782114297
"Beta(2,2)",0.36,1.3823999781848235
"Beta(2,2)",0.361,1.3840739781584068
"Beta(2,2)",0.362,1.3857359781321792
"Beta(2,2)",0.363,1.3873859781061413
"Beta(2,2)",0.364,1.3890239780802922
"Beta(2,2)",0.365,1.3906499780546333
"Beta(2,2)",0.366,1.3922639780291632
"Beta(2,2)",0.367,1.3938659780038825
"Beta(2,2)",0.368,1.3954559779787914
"Beta(2,2)",0.369,1.3970339779538894
"Beta(2,2)",0.37,1.398599977929177
"Beta(2,2)",0.371,1.4001539779046537
"Beta(2,2)",0.372,1.40169597788032
"Beta(2,2)",0.373,1.4032259778561755
"Beta(2,2)",0.374,1.4047439778322206
"Beta(2,2)",0.375,1.4062499778084547
"Beta(2,2)",0.376,1.4077439777848786
"Beta(2,2)",0.377,1.409225977761492
"Beta(2,2)",0.378,1.4106959777382941
"Beta(2,2)",0.379,1.412153977715286
"Beta(2,2)",0.38,1.4135999776924673
"Beta(2,2)",0.381,1.4150339776698375
"Beta(2,2)",0.382,1.4164559776473975
"Beta(2,2)",0.383,1.4178659776251468
"Beta(2,2)",0.384,1.4192639776030858
"Beta(2,2)",0.385,1.4206499775812134
"Beta(2,2)",0.386,1.422023977559531
"Beta(2,2)",0.387,1.4233859775380375
"Beta(2,2)",0.388,1.4247359775167336
"Beta(2,2)",0.389,1.426073977495619
"Beta(2,2)",0.39,1.4273999774746942
"Beta(2,2)",0.391,1.4287139774539583
"Beta(2,2)",0.392,1.4300159774334118
"Beta(2,2)",0.393,1.431305977413055
"Beta(2,2)",0.394,1.4325839773928872
"Beta(2,2)",0.395,1.433849977372909
"Beta(2,2)",0.396,1.43510397735312
"Beta(2,2)",0.397,1.4363459773335203
"Beta(2,2)",0.398,1.4375759773141104
"Beta(2,2)",0.399,1.4387939772948894
"Beta(2,2)",0.4,1.439999977275858
"Beta(2,2)",0.401,1.441193977257016
"Beta(2,2)",0.402,1.4423759772383633
"Beta(2,2)",0.403,1.4435459772198997
"Beta(2,2)",0.404,1.4447039772016257
"Beta(2,2)",0.405,1.4458499771835411
"Beta(2,2)",0.406,1.4469839771656456
"Beta(2,2)",0.40700000000000003,1.4481059771479399
"Beta(2,2)",0.40800000000000003,1.4492159771304234
"Beta(2,2)",0.40900000000000003,1.4503139771130964
"Beta(2,2)",0.41000000000000003,1.4513999770959585
"Beta(2,2)",0.41100000000000003,1.4524739770790098
"Beta(2,2)",0.41200000000000003,1.453535977062251
"Beta(2,2)",0.41300000000000003,1.454585977045681
