estimator,quantile,n,distribution,efficiency
HD,0.02,15,"Weibull(1,0.5)",1.394292471656485
HD,0.02,15,"Exp(1) + Outliers",1.2417459622357816
HD,0.02,16,"Uniform(0,1)",1.2553217569729767
HD,0.02,16,"Beta(2,10)",1.1913596709059389
HD,0.02,16,"Normal(0,1^2)",1.0642405184291375
HD,0.02,16,"Weibull(1,2)",1.1795882294907059
HD,0.02,16,"Exp(1)",1.264708254053261
HD,0.02,16,"Cauchy(0,1)",0.5933984287062049
HD,0.02,16,"Pareto(1,0.5)",1.2988193104650418
HD,0.02,16,"LogNormal(0,3^2)",1.4254063031595239
HD,0.02,16,"Weibull(1,0.5)",1.4019646836467774
HD,0.02,16,"Exp(1) + Outliers",1.2676942012623844
HD,0.02,17,"Uniform(0,1)",1.2677491753229875
HD,0.02,17,"Beta(2,10)",1.210268844226203
HD,0.02,17,"Normal(0,1^2)",1.0724434360628496
HD,0.02,17,"Weibull(1,2)",1.1936245355018922
HD,0.02,17,"Exp(1)",1.2908244291649493
HD,0.02,17,"Cauchy(0,1)",0.5703330269981336
HD,0.02,17,"Pareto(1,0.5)",1.3232526334518884
HD,0.02,17,"LogNormal(0,3^2)",1.4239128816390403
HD,0.02,17,"Weibull(1,0.5)",1.4370291843955316
HD,0.02,17,"Exp(1) + Outliers",1.2781768677331224
HD,0.02,18,"Uniform(0,1)",1.296877774295445
HD,0.02,18,"Beta(2,10)",1.2229509672503804
HD,0.02,18,"Normal(0,1^2)",1.0649426288623285
HD,0.02,18,"Weibull(1,2)",1.2020935932778292
HD,0.02,18,"Exp(1)",1.3055795435834023
HD,0.02,18,"Cauchy(0,1)",0.5448355842285046
HD,0.02,18,"Pareto(1,0.5)",1.3468915662013499
HD,0.02,18,"LogNormal(0,3^2)",1.3830537017268105
HD,0.02,18,"Weibull(1,0.5)",1.469076401405183
HD,0.02,18,"Exp(1) + Outliers",1.3133253001154062
HD,0.02,19,"Uniform(0,1)",1.295310592052778
HD,0.02,19,"Beta(2,10)",1.2249073621998237
HD,0.02,19,"Normal(0,1^2)",1.0643901380032619
HD,0.02,19,"Weibull(1,2)",1.2191549636652317
HD,0.02,19,"Exp(1)",1.3407165037603246
HD,0.02,19,"Cauchy(0,1)",0.5211699290525318
HD,0.02,19,"Pareto(1,0.5)",1.3566274076306273
HD,0.02,19,"LogNormal(0,3^2)",1.5390788194924248
HD,0.02,19,"Weibull(1,0.5)",1.5275676543183498
HD,0.02,19,"Exp(1) + Outliers",1.3248851343590444
HD,0.02,20,"Uniform(0,1)",1.314809162217807
