distribution,x,pdf
"Beta(2,10)",0.296,1.383051413916389
"Beta(2,10)",0.297,1.3700835631616273
"Beta(2,10)",0.298,1.3571971996914247
"Beta(2,10)",0.299,1.344392347324448
"Beta(2,10)",0.3,1.3316690202383425
"Beta(2,10)",0.301,1.3190272231320943
"Beta(2,10)",0.302,1.306466951386586
"Beta(2,10)",0.303,1.2939881912235112
"Beta(2,10)",0.304,1.2815909198625322
"Beta(2,10)",0.305,1.2692751056768006
"Beta(2,10)",0.306,1.2570407083467614
"Beta(2,10)",0.307,1.2448876790123418
"Beta(2,10)",0.308,1.2328159604234434
"Beta(2,10)",0.309,1.2208254870888575
"Beta(2,10)",0.31,1.208916185423498
"Beta(2,10)",0.311,1.197087973894078
"Beta(2,10)",0.312,1.1853407631631452
"Beta(2,10)",0.313,1.1736744562315753
"Beta(2,10)",0.314,1.1620889485794503
"Beta(2,10)",0.315,1.1505841283054163
"Beta(2,10)",0.316,1.1391598762644597
"Beta(2,10)",0.317,1.1278160662041807
"Beta(2,10)",0.318,1.1165525648995027
"Beta(2,10)",0.319,1.1053692322859212
"Beta(2,10)",0.32,1.094265921591196
"Beta(2,10)",0.321,1.0832424794656133
"Beta(2,10)",0.322,1.072298746110717
"Beta(2,10)",0.323,1.0614345554066256
"Beta(2,10)",0.324,1.050649735037848
"Beta(2,10)",0.325,1.039944106617709
"Beta(2,10)",0.326,1.029317485811295
"Beta(2,10)",0.327,1.0187696824570283
"Beta(2,10)",0.328,1.0083005006867873
"Beta(2,10)",0.329,0.9979097390446855
"Beta(2,10)",0.33,0.9875971906044071
"Beta(2,10)",0.331,0.9773626430852276
"Beta(2,10)",0.332,0.9672058789666202
"Beta(2,10)",0.333,0.9571266756015582
"Beta(2,10)",0.334,0.9471248053284372
"Beta(2,10)",0.335,0.9372000355817042
"Beta(2,10)",0.336,0.9273521290011347
"Beta(2,10)",0.337,0.9175808435398392
"Beta(2,10)",0.338,0.907885932570935
"Beta(2,10)",0.339,0.8982671449929717
"Beta(2,10)",0.34,0.8887242253340428
"Beta(2,10)",0.341,0.8792569138546726
"Beta(2,10)",0.342,0.8698649466494068
"Beta(2,10)",0.343,0.8605480557472078
"Beta(2,10)",0.34400000000000003,0.8513059692105691
"Beta(2,10)",0.34500000000000003,0.8421384112334472
"Beta(2,10)",0.34600000000000003,0.8330451022379469
"Beta(2,10)",0.34700000000000003,0.8240257589698429
"Beta(2,10)",0.34800000000000003,0.8150800945928651
"Beta(2,10)",0.34900000000000003,0.8062078187818484
"Beta(2,10)",0.35000000000000003,0.7974086378146655
"Beta(2,10)",0.35100000000000003,0.7886822546630425
"Beta(2,10)",0.352,0.7800283690821805
"Beta(2,10)",0.353,0.771446677699269
"Beta(2,10)",0.354,0.7629368741008471
"Beta(2,10)",0.355,0.754498648919054
"Beta(2,10)",0.356,0.7461316899167556
"Beta(2,10)",0.357,0.7378356820715778
"Beta(2,10)",0.358,0.7296103076588433
"Beta(2,10)",0.359,0.7214552463334205
"Beta(2,10)",0.36,0.7133701752105064
"Beta(2,10)",0.361,0.7053547689453354
"Beta(2,10)",0.362,0.6974086998118366
"Beta(2,10)",0.363,0.6895316377802466
"Beta(2,10)",0.364,0.6817232505936824
"Beta(2,10)",0.365,0.6739832038436853
"Beta(2,10)",0.366,0.6663111610447497
"Beta(2,10)",0.367,0.6587067837078391
"Beta(2,10)",0.368,0.651169731412902
"Beta(2,10)",0.369,0.6436996618803965
"Beta(2,10)",0.37,0.636296231041831
"Beta(2,10)",0.371,0.6289590931093322
"Beta(2,10)",0.372,0.6216879006442476
"Beta(2,10)",0.373,0.6144823046247901
"Beta(2,10)",0.374,0.607341954512735
"Beta(2,10)",0.375,0.6002664983191809
