probs,eff,estimator,n,distribution
0.8,2.66981132739163,median,30,LogNormal
0.82,2.69327193465118,median,30,LogNormal
0.84,2.69817486783727,median,30,LogNormal
0.86,2.70229980613603,median,30,LogNormal
0.88,2.72915984840964,median,30,LogNormal
0.9,2.75719107743271,median,30,LogNormal
0.1,2.0643286482533,hl,30,LogNormal
0.12,2.07419171686627,hl,30,LogNormal
0.14,2.07648336998375,hl,30,LogNormal
0.16,2.07885948574393,hl,30,LogNormal
0.18,2.07803823451509,hl,30,LogNormal
0.2,2.07537509400098,hl,30,LogNormal
0.22,2.08674046028103,hl,30,LogNormal
0.24,2.09897384760291,hl,30,LogNormal
0.26,2.10906407732888,hl,30,LogNormal
0.28,2.1204611361133,hl,30,LogNormal
0.3,2.11311098120324,hl,30,LogNormal
0.32,2.09357379724014,hl,30,LogNormal
0.34,2.09432865271326,hl,30,LogNormal
0.36,2.09432858649713,hl,30,LogNormal
0.38,2.07312190258043,hl,30,LogNormal
0.4,2.09132735178436,hl,30,LogNormal
0.42,2.09772950343988,hl,30,LogNormal
0.44,2.0894816126371,hl,30,LogNormal
0.46,2.09625225103062,hl,30,LogNormal
0.48,2.08934954662428,hl,30,LogNormal
0.5,2.0922897630195,hl,30,LogNormal
0.52,2.1015674219498,hl,30,LogNormal
0.54,2.11125471089137,hl,30,LogNormal
0.56,2.11620130719718,hl,30,LogNormal
0.58,2.11375390415296,hl,30,LogNormal
0.6,2.11504537450431,hl,30,LogNormal
0.62,2.11199113340677,hl,30,LogNormal
0.64,2.11499240697233,hl,30,LogNormal
0.66,2.11672475324473,hl,30,LogNormal
0.68,2.12742053661592,hl,30,LogNormal
0.7,2.12672043201747,hl,30,LogNormal
0.72,2.13276687690949,hl,30,LogNormal
0.74,2.13297955799285,hl,30,LogNormal
0.76,2.13813588755324,hl,30,LogNormal
0.78,2.14332436625532,hl,30,LogNormal
0.8,2.15703946786399,hl,30,LogNormal
0.82,2.17922003943137,hl,30,LogNormal
0.84,2.17763202092828,hl,30,LogNormal
0.86,2.17718734320621,hl,30,LogNormal
0.88,2.19779544682962,hl,30,LogNormal
0.9,2.217699052343,hl,30,LogNormal
0.1,9.21335305555836,median,30,Weibull(0.5)
0.12,9.26618649140196,median,30,Weibull(0.5)
0.14,9.02669832890513,median,30,Weibull(0.5)
0.16,9.0361440013906,median,30,Weibull(0.5)
0.18,9.10588040382147,median,30,Weibull(0.5)
0.2,9.0793664181469,median,30,Weibull(0.5)
0.22,9.20815757033666,median,30,Weibull(0.5)
0.24,9.19858456340342,median,30,Weibull(0.5)
0.26,9.14380555697702,median,30,Weibull(0.5)
0.28,9.22142964656164,median,30,Weibull(0.5)
0.3,9.25624617672307,median,30,Weibull(0.5)
0.32,9.18959712425216,median,30,Weibull(0.5)
0.34,9.21237041671969,median,30,Weibull(0.5)
0.36,9.20811105101028,median,30,Weibull(0.5)
0.38,9.22347180166476,median,30,Weibull(0.5)
0.4,9.24339580390593,median,30,Weibull(0.5)
0.42,9.23802843360029,median,30,Weibull(0.5)
0.44,9.21613284229287,median,30,Weibull(0.5)
0.46,9.19243872357281,median,30,Weibull(0.5)
0.48,9.17655231443242,median,30,Weibull(0.5)
0.5,9.11539584624785,median,30,Weibull(0.5)
0.52,9.13801471853007,median,30,Weibull(0.5)
0.54,9.07535648823193,median,30,Weibull(0.5)
0.56,9.08673557275123,median,30,Weibull(0.5)
0.58,9.04182912229416,median,30,Weibull(0.5)
0.6,9.02143069614372,median,30,Weibull(0.5)
0.62,9.00752525444596,median,30,Weibull(0.5)
0.64,8.96601200515452,median,30,Weibull(0.5)
0.66,8.93983844981727,median,30,Weibull(0.5)
0.68,8.93996125114224,median,30,Weibull(0.5)
0.7,8.93058701621963,median,30,Weibull(0.5)
0.72,8.92434350749367,median,30,Weibull(0.5)
0.74,8.92728423056533,median,30,Weibull(0.5)
0.76,8.90278060637856,median,30,Weibull(0.5)
0.78,8.89242957764254,median,30,Weibull(0.5)
0.8,8.8436993708625,median,30,Weibull(0.5)
0.82,8.77626621593376,median,30,Weibull(0.5)
0.84,8.69886968601686,median,30,Weibull(0.5)
0.86,8.6294780948797,median,30,Weibull(0.5)
0.88,8.59231828425069,median,30,Weibull(0.5)
0.9,8.53935503722889,median,30,Weibull(0.5)
0.1,3.52245379184862,hl,30,Weibull(0.5)
0.12,3.55417233511967,hl,30,Weibull(0.5)
0.14,3.55786875523669,hl,30,Weibull(0.5)
0.16,3.51180980131835,hl,30,Weibull(0.5)
0.18,3.56219298782275,hl,30,Weibull(0.5)
0.2,3.55361738505916,hl,30,Weibull(0.5)
0.22,3.59502889132678,hl,30,Weibull(0.5)
0.24,3.61070859289085,hl,30,Weibull(0.5)
0.26,3.63059806460328,hl,30,Weibull(0.5)
0.28,3.63754490770457,hl,30,Weibull(0.5)
0.3,3.64251698767889,hl,30,Weibull(0.5)
0.32,3.64033299897517,hl,30,Weibull(0.5)
0.34,3.64046049582303,hl,30,Weibull(0.5)
0.36,3.61928986855757,hl,30,Weibull(0.5)
0.38,3.6226841844851,hl,30,Weibull(0.5)
0.4,3.63440227338668,hl,30,Weibull(0.5)
0.42,3.59968724110068,hl,30,Weibull(0.5)
0.44,3.58565427921467,hl,30,Weibull(0.5)
0.46,3.58039719186058,hl,30,Weibull(0.5)
0.48,3.59623260279848,hl,30,Weibull(0.5)
0.5,3.58110478477969,hl,30,Weibull(0.5)
0.52,3.57866170001954,hl,30,Weibull(0.5)
0.54,3.58436235036818,hl,30,Weibull(0.5)
0.56,3.58700232955491,hl,30,Weibull(0.5)
0.58,3.5771519737487,hl,30,Weibull(0.5)
0.6,3.57223867731777,hl,30,Weibull(0.5)
0.62,3.57399343854689,hl,30,Weibull(0.5)
0.64,3.57965916133614,hl,30,Weibull(0.5)
0.66,3.58034751000533,hl,30,Weibull(0.5)
0.68,3.5891957495527,hl,30,Weibull(0.5)
0.7,3.59244163868599,hl,30,Weibull(0.5)
0.72,3.60272701821309,hl,30,Weibull(0.5)
0.74,3.61160987892197,hl,30,Weibull(0.5)
0.76,3.62722007929711,hl,30,Weibull(0.5)
0.78,3.62836687489669,hl,30,Weibull(0.5)
0.8,3.6186880643643,hl,30,Weibull(0.5)
0.82,3.61403720088956,hl,30,Weibull(0.5)
0.84,3.60665711540199,hl,30,Weibull(0.5)
0.86,3.60190363719684,hl,30,Weibull(0.5)
0.88,3.62201338520356,hl,30,Weibull(0.5)
0.9,3.65095434015366,hl,30,Weibull(0.5)
0.1,36.6323778021841,median,30,Cauchy
0.12,37.1288791896353,median,30,Cauchy
0.14,37.2752457272963,median,30,Cauchy
0.16,37.6189161699559,median,30,Cauchy
0.18,38.5876622334205,median,30,Cauchy
0.2,38.7763195026636,median,30,Cauchy
0.22,39.4035694851516,median,30,Cauchy
0.24,40.1289082791608,median,30,Cauchy
0.26,40.440423475713,median,30,Cauchy
0.28,41.050355931195,median,30,Cauchy
0.3,41.6839052542908,median,30,Cauchy
0.32,42.6725646920492,median,30,Cauchy
0.34,43.1114772693039,median,30,Cauchy
0.36,44.1898706318372,median,30,Cauchy
0.38,44.766137786426,median,30,Cauchy
0.4,45.5140609321305,median,30,Cauchy
0.42,46.6259239034681,median,30,Cauchy
0.44,47.6795942403026,median,30,Cauchy
0.46,48.8707181406104,median,30,Cauchy
0.48,50.1773386619477,median,30,Cauchy
0.5,51.6184425541852,median,30,Cauchy
0.52,53.0530473049634,median,30,Cauchy
0.54,54.9558179424492,median,30,Cauchy
0.56,57.1855509528988,median,30,Cauchy
0.58,59.5915994442775,median,30,Cauchy
0.6,62.5338079669682,median,30,Cauchy
