estimator,quantile,n,distribution,efficiency
HD,0.04,3,"Cauchy(0,1)",0.8873697675430474
HD,0.04,3,"Pareto(1,0.5)",0.003264812674997289
HD,0.04,3,"LogNormal(0,3^2)",1.4244524864263644
HD,0.04,3,"Weibull(1,0.5)",1.1803713604896438
HD,0.04,3,"Exp(1) + Outliers",11.009275388938606
HD,0.04,4,"Uniform(0,1)",1.0957221975907894
HD,0.04,4,"Beta(2,10)",1.0929518713668516
HD,0.04,4,"Normal(0,1^2)",1.0548391729525581
HD,0.04,4,"Weibull(1,2)",1.0798065693609924
HD,0.04,4,"Exp(1)",1.1277834346781543
HD,0.04,4,"Cauchy(0,1)",0.8325959716503394
HD,0.04,4,"Pareto(1,0.5)",0.019374091316685584
HD,0.04,4,"LogNormal(0,3^2)",1.3285015946347678
HD,0.04,4,"Weibull(1,0.5)",1.247198893051786
HD,0.04,4,"Exp(1) + Outliers",0.0663571220724269
HD,0.04,5,"Uniform(0,1)",1.1262608342637197
HD,0.04,5,"Beta(2,10)",1.1182007883408052
HD,0.04,5,"Normal(0,1^2)",1.0638133549237105
HD,0.04,5,"Weibull(1,2)",1.1028343327659682
HD,0.04,5,"Exp(1)",1.1601273092226312
HD,0.04,5,"Cauchy(0,1)",0.7786356726718598
HD,0.04,5,"Pareto(1,0.5)",0.0759403049542037
HD,0.04,5,"LogNormal(0,3^2)",1.6197932581877978
HD,0.04,5,"Weibull(1,0.5)",1.2775204427361921
HD,0.04,5,"Exp(1) + Outliers",0.4569136593453066
HD,0.04,6,"Uniform(0,1)",1.1567022619762477
HD,0.04,6,"Beta(2,10)",1.1419938996718624
HD,0.04,6,"Normal(0,1^2)",1.071386793189377
HD,0.04,6,"Weibull(1,2)",1.1224301928759648
HD,0.04,6,"Exp(1)",1.1883526677213772
HD,0.04,6,"Cauchy(0,1)",0.726711694902242
HD,0.04,6,"Pareto(1,0.5)",0.5898124840509302
HD,0.04,6,"LogNormal(0,3^2)",1.3935208910859587
HD,0.04,6,"Weibull(1,0.5)",1.3099992420765407
HD,0.04,6,"Exp(1) + Outliers",0.9084148646076895
HD,0.04,7,"Uniform(0,1)",1.1877798140325035
HD,0.04,7,"Beta(2,10)",1.1673974720249345
