estimator,quantile,n,distribution,efficiency
HD,0.02,29,"Uniform(0,1)",1.541040898401851
HD,0.02,29,"Normal(0,1^2)",1.0312626603157824
HD,0.02,29,"Weibull(1,2)",1.3471551046252686
HD,0.02,29,"Cauchy(0,1)",0.30196874532855367
HD,0.02,29,"Pareto(1,0.5)",1.5021413155390528
HD,0.02,29,"LogNormal(0,3^2)",1.6185036942344353
HD,0.02,29,"Exp(1) + Outliers",1.5214890836795207
HD,0.02,30,"Beta(2,10)",1.4097289048435024
HD,0.02,30,"Uniform(0,1)",1.5429592655717599
HD,0.02,30,"Normal(0,1^2)",1.0102379614059223
HD,0.02,30,"Weibull(1,2)",1.3551366009593815
HD,0.02,30,"Cauchy(0,1)",0.2783299387827102
HD,0.02,30,"Pareto(1,0.5)",1.6120636931111265
HD,0.02,30,"LogNormal(0,3^2)",1.635763312395409
HD,0.02,30,"Exp(1) + Outliers",1.5372743970292677
HD,0.02,31,"Beta(2,10)",1.389318825648905
HD,0.02,31,"Uniform(0,1)",1.5662253038954155
HD,0.02,31,"Normal(0,1^2)",1.0211921335186802
HD,0.02,31,"Weibull(1,2)",1.3680007062678994
HD,0.02,31,"Cauchy(0,1)",0.25995200174963295
HD,0.02,31,"Pareto(1,0.5)",1.554101078763048
HD,0.02,31,"LogNormal(0,3^2)",1.698359189790414
HD,0.02,31,"Exp(1) + Outliers",1.571435544609911
HD,0.02,32,"Beta(2,10)",1.4090116539506983
HD,0.02,32,"Uniform(0,1)",1.564151709157309
HD,0.02,32,"Normal(0,1^2)",1.0226879037846988
HD,0.02,32,"Weibull(1,2)",1.380068319227504
HD,0.02,32,"Cauchy(0,1)",0.2400497643472233
HD,0.02,32,"Pareto(1,0.5)",1.6417335279164047
HD,0.02,32,"LogNormal(0,3^2)",1.7206323259548597
HD,0.02,32,"Exp(1) + Outliers",1.6174414708798006
HD,0.02,33,"Beta(2,10)",1.44945509787472
HD,0.02,33,"Uniform(0,1)",1.5812670557031636
